site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno,Vital_Rate_Barcode
,11007762,1,0,BWC-S,6/18/2018,8:47:00 AM,6/18/2018,9:02:00 AM,4,D23.RS,D,1,,5,M-,200,0,15,4257,4305,205,,21,,60,,25,,15,583330,4909708,,583330,4909708,2,1,103,2,25.4,,1.03,2,507,,0.07,,12.4,,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,4,BLGL,191,T,,1,191.00,,,,,,0,2713,VR100001
,11007762,1,0,BWC-S,6/18/2018,8:47:00 AM,6/18/2018,9:02:00 AM,4,D23.RS,D,1,,5,M-,200,0,15,4257,4305,205,,21,,60,,25,,15,583330,4909708,,583330,4909708,2,1,103,2,25.4,,1.03,2,507,,0.07,,12.4,,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,7,BLGL,202,T,,1,216.00,,,,,,0,2713,VR100004
,11007762,1,0,BWC-S,6/18/2018,8:47:00 AM,6/18/2018,9:02:00 AM,4,D23.RS,D,1,,5,M-,200,0,15,4257,4305,205,,21,,60,,25,,15,583330,4909708,,583330,4909708,2,1,103,2,25.4,,1.03,2,507,,0.07,,12.4,,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,6,BLGL,183,T,,1,158.00,,,,,,0,2713,VR100003
,11007762,1,0,BWC-S,6/18/2018,8:47:00 AM,6/18/2018,9:02:00 AM,4,D23.RS,D,1,,5,M-,200,0,15,4257,4305,205,,21,,60,,25,,15,583330,4909708,,583330,4909708,2,1,103,2,25.4,,1.03,2,507,,0.07,,12.4,,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,5,BLGL,202,T,,1,215.00,,,,,,0,2713,VR100002
,11007763,1,0,BWC-S,6/18/2018,9:56:00 AM,6/18/2018,10:11:00 AM,4,D24.RS,D,1,,5,M-,200,0,15,4280,4305,205,,21,,60,,25,,15,583380,4909658,,583380,4909658,2,1,111,2,24,,1.11,2,522,,0.09,,,0,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,7,FWDM,331,T,,1,369.00,,,,,,0,2713,VR100007
,11007763,1,0,BWC-S,6/18/2018,9:56:00 AM,6/18/2018,10:11:00 AM,4,D24.RS,D,1,,5,M-,200,0,15,4280,4305,205,,21,,60,,25,,15,583380,4909658,,583380,4909658,2,1,111,2,24,,1.11,2,522,,0.09,,,0,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,6,BLGL,196,T,,1,183.00,,,,,,0,2713,VR100006
,11007763,1,0,BWC-S,6/18/2018,9:56:00 AM,6/18/2018,10:11:00 AM,4,D24.RS,D,1,,5,M-,200,0,15,4280,4305,205,,21,,60,,25,,15,583380,4909658,,583380,4909658,2,1,111,2,24,,1.11,2,522,,0.09,,,0,,,,2,,3,3,1,0,0,0,0,0,0,1,,0,,10,,1,1,5,BLGL,193,T,,1,175.00,,,,,,0,2713,VR100005
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,14,GZSD,76,T,,1,4.00,,,,,,0,2713,VR100085
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,15,GZSD,64,T,,1,3.00,,,,,,0,2713,VR100086
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,16,GZSD,66,T,,1,3.00,,,,,,0,2713,VR100087
