CountryNum,StateNum,Route,BCR,RPID,ObsNum,RunDate,StartTime,EndTime,StartTemp,EndTemp,TempScale,StartSky,EndSky,StartWind,EndWind
484,2,4,32,101,1091107,6/14/2008,548,1120,48,95,F,1,1,0,2
484,2,4,32,101,1180185,7/7/2017,630,1446,18,32,C,4,0,0,0
484,2,4,32,101,1041174,6/10/2018,530,1030,16,27,C,4,0,0,1
484,2,7,33,101,990849,7/1/2011,600,1100,23,41,C,0,0,0,0
484,2,7,33,101,990849,7/6/2012,600,943,24,41,C,0,0,1,0
484,2,7,33,101,990849,7/24/2013,549,1000,34,42,C,1,0,0,0
484,2,7,33,101,990849,7/24/2014,551,1004,27,36,C,1,1,0,0
484,2,7,33,101,990849,6/24/2015,526,1000,25,35,C,0,0,0,0
484,2,7,33,101,990849,6/23/2016,539,1002,27,36,C,0,0,0,1
484,2,7,33,101,990849,6/28/2017,559,1003,27,40,C,0,0,0,0
484,2,7,33,101,990849,6/27/2018,519,921,25,38,C,0,0,1,1
484,2,8,33,101,990849,6/30/2011,600,1030,26,41,C,0,0,0,0
484,2,8,33,101,990849,7/4/2012,519,1014,23,41,C,1,0,0,0
484,2,8,33,101,990849,7/25/2013,548,1100,33,42,C,0,0,0,0
484,2,8,33,101,990849,7/25/2014,620,1130,32,42,C,0,0,0,0
484,2,8,33,101,990849,6/25/2015,527,1123,22,31,C,0,0,0,1
484,2,8,33,101,990849,6/27/2016,534,1103,26,40,C,0,0,0,0
484,2,8,33,101,990849,6/29/2017,550,1057,29,38,C,0,0,0,0
484,2,8,33,101,990849,6/22/2018,515,1055,25,40,C,0,0,1,1
484,3,23,40,101,1091207,7/7/2011,628,1200,26,39,C,0,0,0,0
484,3,32,40,101,1180185,6/28/2015,633,1305,18,35,C,0,2,0,2
484,3,33,40,101,1180185,6/27/2015,635,1412,25,38,C,1,0,0,1
484,3,38,42,101,1030684,7/12/2014,600,1116,25,25,C,0,0,0,0
484,6,2,34,101,1030635,6/29/2009,535,1010,19,31,C,5,2,1,0
484,6,2,34,101,1030635,7/7/2010,538,1130,19,35,C,0,0,1,3
484,6,11,34,101,1030635,6/18/2009,535,1003,24,31,C,0,0,1,2
484,6,11,34,101,1030635,7/6/2010,544,1125,23,38,C,0,0,0,0
484,6,15,34,101,1030635,6/8/2009,533,1115,4,19,C,0,1,1,4
484,6,15,34,101,1030635,7/10/2010,544,1040,19,21,C,5,2,1,2
484,6,25,35,101,1180166,7/7/2011,530,1102,17,32,C,0,0,0,0
484,6,25,35,101,1180166,6/5/2012,523,1218,21,45,C,0,0,0,1
484,6,25,35,101,1180166,6/26/2013,533,1236,32,39,C,0,0,0,2
484,6,25,35,101,1180166,7/6/2014,530,1100,22,39,C,1,2,0,2
484,6,25,35,101,1180166,6/28/2015,555,1123,25,33,C,1,0,0,2
484,6,25,35,101,1180166,6/23/2018,540,1156,27,37,C,0,0,0,2
484,6,33,34,101,990850,5/26/2012,626,1110,12,20,C,0,0,0,1
484,6,39,35,101,1180166,6/6/2011,538,1128,16,30,C,0,0,0,1
484,6,39,35,101,1180166,6/4/2012,535,1058,25,30,C,0,0,0,1
484,6,39,35,101,1180166,6/27/2013,531,1136,29,37,C,0,0,0,0
484,6,39,35,101,1180166,7/5/2014,530,1111,23,31,C,0,0,0,2
484,6,39,35,101,1180166,6/27/2015,530,1040,20,29,C,1,2,0,1
484,6,39,35,101,1180166,6/16/2018,544,1127,25,33,C,1,1,0,0
484,6,42,35,101,1180166,5/26/2011,530,1052,22,28,C,0,0,0,0
484,6,42,35,101,1180166,6/6/2012,547,1220,23,44,C,0,0,0,0
484,6,42,35,101,1180166,6/2/2013,536,1211,37,42,C,1,0,0,1
